id,query,rank,predicted_id
2wikimqa_e_1,"Who is Hermann Ii, Count Palatine Of Lotharingia's paternal grandfather?",1,2wikimqa_e_1
2wikimqa_e_1,"Who is Hermann Ii, Count Palatine Of Lotharingia's paternal grandfather?",2,2wikimqa_e_5
2wikimqa_e_1,"Who is Hermann Ii, Count Palatine Of Lotharingia's paternal grandfather?",3,2wikimqa_e_48
2wikimqa_e_2,Where was the director of film Requiem For Dominic born?,1,2wikimqa_e_17
2wikimqa_e_2,Where was the director of film Requiem For Dominic born?,2,2wikimqa_e_2
2wikimqa_e_2,Where was the director of film Requiem For Dominic born?,3,2wikimqa_e_40
2wikimqa_e_3,What is the place of birth of Ibrahim Ibn Muhammad's mother?,1,2wikimqa_e_3
2wikimqa_e_3,What is the place of birth of Ibrahim Ibn Muhammad's mother?,2,2wikimqa_e_13
2wikimqa_e_3,What is the place of birth of Ibrahim Ibn Muhammad's mother?,3,2wikimqa_e_7
2wikimqa_e_4,"Which film has the director died earlier, Kadamba (1983 Film) or Mickey'S Tent Show?",1,2wikimqa_e_4
2wikimqa_e_4,"Which film has the director died earlier, Kadamba (1983 Film) or Mickey'S Tent Show?",2,2wikimqa_e_18
2wikimqa_e_4,"Which film has the director died earlier, Kadamba (1983 Film) or Mickey'S Tent Show?",3,2wikimqa_e_11
2wikimqa_e_5,"Who was born first, Damien Hétu or Matan Cohen?",1,2wikimqa_e_5
2wikimqa_e_5,"Who was born first, Damien Hétu or Matan Cohen?",2,2wikimqa_e_21
2wikimqa_e_5,"Who was born first, Damien Hétu or Matan Cohen?",3,2wikimqa_e_10
2wikimqa_e_6,Do director of film Happy Days (1929 Film) and director of film Hero (1982 Film) share the same nationality?,1,2wikimqa_e_6
2wikimqa_e_6,Do director of film Happy Days (1929 Film) and director of film Hero (1982 Film) share the same nationality?,2,2wikimqa_e_7
2wikimqa_e_6,Do director of film Happy Days (1929 Film) and director of film Hero (1982 Film) share the same nationality?,3,2wikimqa_e_30
2wikimqa_e_7,"Which film has the director who is older than the other, A Hungarian Fairy Tale or The Hero Of My Dreams? ",1,2wikimqa_e_7
2wikimqa_e_7,"Which film has the director who is older than the other, A Hungarian Fairy Tale or The Hero Of My Dreams? ",2,2wikimqa_e_8
2wikimqa_e_7,"Which film has the director who is older than the other, A Hungarian Fairy Tale or The Hero Of My Dreams? ",3,2wikimqa_e_35
2wikimqa_e_8,Are both Flying Fifty-Five and Approaching Midnight from the same country?,1,2wikimqa_e_8
2wikimqa_e_8,Are both Flying Fifty-Five and Approaching Midnight from the same country?,2,2wikimqa_e_10
2wikimqa_e_8,Are both Flying Fifty-Five and Approaching Midnight from the same country?,3,2wikimqa_e_19
2wikimqa_e_9,What is the place of birth of Anne Elizabeth Rector's husband?,1,2wikimqa_e_9
2wikimqa_e_9,What is the place of birth of Anne Elizabeth Rector's husband?,2,2wikimqa_e_3
2wikimqa_e_9,What is the place of birth of Anne Elizabeth Rector's husband?,3,2wikimqa_e_36
2wikimqa_e_10,Was Bronisław Dembowski or Carlo Delle Piane born first?,1,2wikimqa_e_10
2wikimqa_e_10,Was Bronisław Dembowski or Carlo Delle Piane born first?,2,2wikimqa_e_1
2wikimqa_e_10,Was Bronisław Dembowski or Carlo Delle Piane born first?,3,2wikimqa_e_3
2wikimqa_e_11,"Which film has the director who was born later, Alludugaru or The Laughing Woman?",1,2wikimqa_e_11
