input,ans1,ans2,ans3
"Who is Hermann Ii, Count Palatine Of Lotharingia's paternal grandfather?",True,True,True
Where was the director of film Requiem For Dominic born?,True,True,True
What is the place of birth of Ibrahim Ibn Muhammad's mother?,False,False,False
"Which film has the director died earlier, Kadamba (1983 Film) or Mickey'S Tent Show?",False,False,False
"Who was born first, Damien Hétu or Matan Cohen?",True,True,True
Do director of film Happy Days (1929 Film) and director of film Hero (1982 Film) share the same nationality?,False,False,False
"Which film has the director who is older than the other, A Hungarian Fairy Tale or The Hero Of My Dreams? ",True,True,True
Are both Flying Fifty-Five and Approaching Midnight from the same country?,True,False,True
What is the place of birth of Anne Elizabeth Rector's husband?,False,False,False
Was Bronisław Dembowski or Carlo Delle Piane born first?,True,True,True
"Which film has the director who was born later, Alludugaru or The Laughing Woman?",True,True,False
Who is the father of the director of film Kajraare?,False,False,False
"Which film has the director died earlier, The Coca-Cola Kid or Ayul Kaithi?",True,True,True
"Who lived longer, Ole Arntzen or Harry Albert Willis?",True,True,True
"Which film came out earlier, Olavina Udugore or A Pearl In The Forest?",True,True,True
"Which song was released first, L'Histoire D'Une Fée, C'Est... or I Can Change (Lcd Soundsystem Song)?",True,True,True
What is the place of birth of the director of film Sweepstakes (Film)?,False,False,False
Where was the director of film En Aasai Rasave born?,False,False,False
Where did the director of film The Eagle'S Eye study?,True,True,True
"Who is Stephen, Count Palatine Of Simmern-Zweibrücken's maternal grandmother?",True,True,True
"What is the place of birth of the composer of film Yandé Codou, La Griotte De Senghor?",True,False,True
"Which film has the director who is older than the other, The Man With The Glass Eye or The Pom Pom Girls? ",True,True,True
"Who is older, Maksim Kedrin or Peggy Pettitt?",True,True,True
"Which film was released more recently, Free China: The Courage To Believe or The Rebel Set?",True,True,True
"Are both villages, Little Rock Village and Jamal Beyg, located in the same country?",True,True,True
"Which film whose director is younger, The Goose Woman or You Can No Longer Remain Silent?",True,True,True
Where was the director of film La Grande Meute born?,True,True,True
Are Edmonton/Twin Island Airpark and Mayerthorpe Airport located in the same country?,True,True,True
"Which film has the director who was born later, The Man Is Armed or Wolf Warrior?",True,False,True
Where did the director of film I Live On Danger die?,False,False,False
"Which film came out earlier, Just Friends or Enkeyo Ketta Kural?",True,True,True
Who is Domhnall Mac Alasdair's paternal grandfather?,False,False,False
"Who is John Of Luxembourg, Count Of Soissons's maternal grandfather?",False,False,False
What is the cause of death of director of film Disgraced!?,True,True,True
Which country the director of film Mrs. Gibbons' Boys (Film) is from?,False,False,False
"Who is the mother of Nicholas Crispo, Lord Of Syros?",False,False,False
"Who is the paternal grandfather of Louis Iv, Count Of Chiny?",False,False,False
"What is the date of birth of George Ernest, Count Of Erbach-Wildenstein's father?",False,False,False
What nationality is the director of film World And Time Enough?,False,False,False
Where was the director of film The Dangerous Talent born?,False,False,False
"Which album was released more recently, Full Length Lp or Blow In The Wind?",True,True,True
Who is the paternal grandfather of Trịnh Doanh?,False,False,False
Are Breville and Jakab Industries both located in the same country?,True,True,True
"Which film was released more recently, Eager Bodies or We Dive At Dawn?",True,True,True
Where was the director of film Ashwamedha (Film) born?,False,False,False
"Which film has the director born earlier, Dos Basuras or Day Of The Painter?",True,True,True
"Who was born first, Lương Hoàng Nam or Ross Mcmillan?",True,True,True
