input,_id
"Who is Hermann Ii, Count Palatine Of Lotharingia's paternal grandfather?",8c17c1259ed0c31bff3ee48ef8a6c4c54469c7769ffbc1c1
Where was the director of film Requiem For Dominic born?,52150ca076ef6a156239c8fd2cb45983ba9b8cd446312f22
What is the place of birth of Ibrahim Ibn Muhammad's mother?,61fa50e62866fbeeffc9822aa76f8f363578e72c1a7436af
"Which film has the director died earlier, Kadamba (1983 Film) or Mickey'S Tent Show?",4adca5ba1654b740d1e25c6e73d45aa2f3621537bed9086b
"Who was born first, Damien Hétu or Matan Cohen?",3ec0722ff6e0d8361ed2ab093a992915fe5b1ddb10ee39a9
Do director of film Happy Days (1929 Film) and director of film Hero (1982 Film) share the same nationality?,16a0130f95804e9b0791a89e2d18e46f611c1620891658b8
"Which film has the director who is older than the other, A Hungarian Fairy Tale or The Hero Of My Dreams? ",6e020fda91702d5ab63283c032fc436f3a6b7fd6c568aba7
Are both Flying Fifty-Five and Approaching Midnight from the same country?,7a0b2aa530cd3c6c74154e334e96c8aae27f68fa12d65bb1
What is the place of birth of Anne Elizabeth Rector's husband?,14387a7ce67635d6f5c75fd29b6d3344758a8be64311ea6e
Was Bronisław Dembowski or Carlo Delle Piane born first?,8e33b783534c90d43c07617f4106a5056cb93ba21758b91c
"Which film has the director who was born later, Alludugaru or The Laughing Woman?",d8cde3372e47344e4aed4fca9f307ea80b7172960d153325
Who is the father of the director of film Kajraare?,df74c88567561261707555fa8504bf93678834b5fce5f943
"Which film has the director died earlier, The Coca-Cola Kid or Ayul Kaithi?",5f9a67c086d5912df85495d94281982fd5bc0abe67c3d266
"Who lived longer, Ole Arntzen or Harry Albert Willis?",fbbe6a3e39955eca34caa6cf37d147f6af697a70eb83a30c
"Which film came out earlier, Olavina Udugore or A Pearl In The Forest?",0e1a7715016522e4285d6db621310d72b3db49464271cf47
"Which song was released first, L'Histoire D'Une Fée, C'Est... or I Can Change (Lcd Soundsystem Song)?",e9a287057b6f318c6cef9d0e2b12256c7b9473f4b783d38d
What is the place of birth of the director of film Sweepstakes (Film)?,e2f6373f7d78bc79306ca8454e38329e511a920f224a26f4
Where was the director of film En Aasai Rasave born?,d214078fd2eaaa345d77f1f06bbb7765253b476fec74d965
